Country,Year,Years,"Multidimensional Poverty Index (MPI, HDRO)",MPI HDRO Percent,"Multidimensional Poverty Index (MPI, 2010)",MPI 2010 Percent,Population in Multidimensional Poverty,Intensity of Deprivation,Education Deprivation,Health Deprivation,Living Standards,Population Below National Poverty Line,Population Below $1.25 per Day
South Sudan,2010,2009,0.551,89.3,0.557,91.1,"8,877",61.7,39.3,14.3,46.3,50.6,..
Sudan,2010,2009,0.29,53.1,0.321,57.8,"18,916",54.6,30.4,20.7,48.9,46.5,19.8
Suriname,2010,2009,0.033,7.6,0.024,5.9,40,43.1,31,37.2,31.8,..,..
Swaziland,2010,2009,0.113,25.9,0.086,20.4,309,43.5,13.7,41,45.3,63,39.3
Syrian Arab Republic,2009,2008,0.028,7.2,0.016,4.4,"1,519",39.1,54.7,34,11.3,35.2,1.7
Tajikistan,2012,2011,0.031,7.9,0.054,13.2,629,39,13.4,52.6,34,47.2,6.5
Tanzania (United Republic of),2010,2009,0.335,66.4,0.332,65.6,"29,842",50.4,16.9,28.2,54.9,28.2,43.5
Thailand,2005,2004,0.004,1,0.006,1.6,664,38.8,19.4,51.3,29.4,12.6,0.3
The former Yugoslav Republic of Macedonia,2011,2010,0.007,1.7,0.002,0.7,36,38.4,18.5,57.2,24.3,27.1,0.3
Timor-Leste,2009,2008,0.322,64.3,0.36,68.1,694,50.1,20,30.4,49.6,49.9,34.9
Togo,2013,2012,0.242,48.5,0.252,50.1,"3,394",49.9,26.4,28.8,44.9,58.7,52.5
Trinidad and Tobago,2006,2005,0.007,1.7,0.02,5.6,23,38,2.2,86.1,11.7,..,..
Tunisia,2011,2010,0.006,1.5,0.004,1.2,161,39.3,33.7,48.2,18.1,15.5,0.7
Uganda,2011,2010,0.359,70.3,0.367,69.9,"24,712",51.1,18,30.2,51.9,19.5,37.8
Ukraine,2012,2011,0.001,0.4,0.004,1.2,162,34.5,19,77.5,3.5,8.4,0
Uzbekistan,2006,2005,0.013,3.5,0.008,2.3,935,36.6,3.7,83.4,12.8,16,..
Vanuatu,2007,2006,0.135,31.2,0.129,30.1,69,43.1,24.4,24.1,51.6,..,..
Viet Nam,2010,2009,0.026,6.4,0.017,4.2,"5,796",40.7,35.9,25.7,38.4,17.2,2.4
Yemen,2013,2012,0.2,40,,,"9,754",50.1,29.5,32.2,38.2,34.8,9.8
Zambia,2013,2012,0.264,54.4,0.281,56.6,"8,173",48.6,17.9,29.8,52.3,60.5,74.3
Zimbabwe,2014,2013,0.128,28.9,0.127,29.7,"4,222",44.1,10.8,34.5,54.8,72.3,..
